tracking_id	gene_id	gene_short_name	0_10_FPKM	0_12_FPKM	0_FPKM	10_25_FPKM	12_FPKM	21_25_FPKM	25_FPKM	3_FPKM	6_FPKM
YJL019W	YJL019W	MPS3	18.445	18.3945	19.1948	15.0249	19.7704	19.4184	19.3039	19.3596	18.7347
YJL020C	YJL020C	BBC1	28.3563	28.1749	38.2728	20.4671	30.4838	26.7327	30.3397	30.8736	31.7927
YJL020W-A	YJL020W-A	YJL020W-A	78.2054	69.9024	98.3372	44.5538	72.0643	69.7511	84.8693	92.0438	83.5415
YJL022W	YJL022W	YJL022W	17.2603	16.8692	31.2838	20.2832	17.1015	23.4111	25.455	23.5069	32.9303
YJL023C	YJL023C	PET130	27.5396	19.1475	25.4251	26.7423	23.819	22.0939	26.0359	26.0049	24.8825
YJL024C	YJL024C	APS3	147.525	114.21	131.585	113.791	110.278	121.846	108.709	116.68	105.95
YJL025W	YJL025W	RRN7	31.3652	31.0913	27.5337	31.2544	30.6822	36.304	31.0689	27.8683	30.1028
YJL026C-A	YJL026C-A	YJL026C-A	489.008	1005.53	528.43	1075.88	789.888	1040.87	878.076	645.727	826.316
YJL026W	YJL026W	RNR2	87.5781	200.464	92.1319	214.567	165.652	206.945	167.936	125.468	162.199
YJL027C	YJL027C	YJL027C	4.71164	2.68774	1.98244	2.54044	2.8899	2.77771	1.72061	1.38569	1.75728
